Населённый пункт,Год,Месяц,День,Время_суток,Температура,Скорость_ветра(м/с),Направление_ветра,Давление,Влажность,Осадки_(м/м),Погода
strelna,2018,january,1,ночь,0°,4,Юго-восточный ветер,763,96,0.1 мм,снег
strelna,2018,january,1,утро,0°,5,Юго-восточный ветер,760,91,1.2 мм,снег
strelna,2018,january,1,день,0°,5,Юго-восточный ветер,757,93,0.6 мм,снег
strelna,2018,january,1,вечер,0°,4,Юго-восточный ветер,755,93,0.3 мм,снег
strelna,2018,january,2,ночь,+2°,5,Южный ветер,753,90,1.3 мм,дождь
strelna,2018,january,2,утро,+3°,4,Южный ветер,755,91,0.2 мм,дождь
strelna,2018,january,2,день,+4°,6,Южный ветер,757,91,0.6 мм,дождь
strelna,2018,january,2,вечер,+3°,6,Юго-западный ветер,760,89,0.1 мм,дождь
strelna,2018,january,3,ночь,+1°,4,Южный ветер,763,93,0.1 мм,дождь
strelna,2018,january,3,утро,0°,3,Юго-восточный ветер,762,92,без осадков,малооблачно
strelna,2018,january,3,день,+1°,3,Юго-восточный ветер,761,96,без осадков,дождь
strelna,2018,january,3,вечер,+1°,2,Восточный ветер,761,91,без осадков,ясно
strelna,2018,january,4,ночь,+1°,3,Юго-восточный ветер,760,94,0.4 мм,снег
strelna,2018,january,4,утро,+1°,3,Юго-восточный ветер,760,95,1.1 мм,снег
strelna,2018,january,4,день,+2°,3,Восточный ветер,759,97,0.4 мм,дождь
strelna,2018,january,4,вечер,+1°,4,Восточный ветер,759,93,0.1 мм,дождь
strelna,2018,january,5,ночь,+2°,4,Юго-восточный ветер,758,95,0.7 мм,дождь
strelna,2018,january,5,утро,+2°,5,Юго-восточный ветер,757,92,0.2 мм,дождь
strelna,2018,january,5,день,+4°,5,Юго-восточный ветер,758,94,0.2 мм,дождь
strelna,2018,january,5,вечер,+3°,5,Юго-восточный ветер,758,90,0.1 мм,дождь
strelna,2018,january,6,ночь,+1°,6,Юго-восточный ветер,755,94,1.2 мм,дождь
strelna,2018,january,6,утро,+2°,5,Юго-восточный ветер,751,93,1.2 мм,дождь
strelna,2018,january,6,день,+2°,4,Южный ветер,752,97,1.2 мм,дождь
strelna,2018,january,6,вечер,+2°,5,Юго-западный ветер,755,95,0.8 мм,дождь
strelna,2018,january,7,ночь,0°,6,Юго-западный ветер,757,91,0.7 мм,снег
strelna,2018,january,7,утро,0°,7,Западный ветер,760,92,0.9 мм,снег
strelna,2018,january,7,день,-1°,8,Западный ветер,764,84,0.3 мм,ясно
strelna,2018,january,7,вечер,0°,8,Западный ветер,766,82,без осадков,ясно
strelna,2018,january,8,ночь,-1°,5,Западный ветер,763,92,2.6 мм,снег
strelna,2018,january,8,утро,0°,7,Западный ветер,764,90,1.9 мм,снег
strelna,2018,january,8,день,-2°,6,Северо-западный ветер,770,84,без осадков,ясно
strelna,2018,january,8,вечер,-2°,6,Западный ветер,773,82,без осадков,ясно
strelna,2018,january,9,ночь,-7°,5,Западный ветер,776,79,без осадков,ясно
strelna,2018,january,9,утро,-4°,4,Западный ветер,776,85,без осадков,малооблачно
strelna,2018,january,9,день,0°,4,Западный ветер,775,96,0.3 мм,пасмурно
strelna,2018,january,9,вечер,0°,2,Западный ветер,776,94,0.2 мм,снег
strelna,2018,january,10,ночь,-1°,2,Западный ветер,776,96,0.1 мм,ясно
strelna,2018,january,10,утро,0°,3,Юго-западный ветер,775,97,0.1 мм,снег
strelna,2018,january,10,день,0°,3,Западный ветер,775,97,0.1 мм,ясно
strelna,2018,january,10,вечер,0°,3,Западный ветер,775,92,0.1 мм,снег
strelna,2018,january,11,ночь,-2°,3,Западный ветер,775,94,0.2 мм,снег
strelna,2018,january,11,утро,-1°,3,Северо-западный ветер,777,92,0.2 мм,снег
strelna,2018,january,11,день,-1°,3,Северо-восточный ветер,779,91,0.1 мм,ясно
strelna,2018,january,11,вечер,-4°,2,Северо-восточный ветер,782,86,без осадков,ясно
strelna,2018,january,12,ночь,-4°,1,Северный ветер,785,91,0.1 мм,ясно
strelna,2018,january,12,утро,-5°,1,Северо-восточный ветер,787,93,0.2 мм,снег
strelna,2018,january,12,день,-3°,1,Северный ветер,790,97,0.1 мм,ясно
strelna,2018,january,12,вечер,-6°,1,Юго-западный ветер,791,93,без осадков,снег
strelna,2018,january,13,ночь,-7°,3,Юго-западный ветер,792,84,0.1 мм,снег
strelna,2018,january,13,утро,-7°,4,Юго-западный ветер,791,90,0.1 мм,снег
strelna,2018,january,13,день,-6°,4,Юго-западный ветер,791,96,0.3 мм,снег
strelna,2018,january,13,вечер,-6°,3,Юго-западный ветер,790,91,0.2 мм,снег
strelna,2018,january,14,ночь,-6°,1,Западный ветер,790,86,0.2 мм,снег
strelna,2018,january,14,утро,-6°,2,Юго-западный ветер,790,86,0.1 мм,снег
strelna,2018,january,14,день,-4°,2,Юго-западный ветер,789,95,0.1 мм,снег
strelna,2018,january,14,вечер,-5°,1,Южный ветер,789,96,0.1 мм,снег
strelna,2018,january,15,ночь,-8°,2,Южный ветер,788,94,0.1 мм,ясно
strelna,2018,january,15,утро,-9°,3,Южный ветер,787,84,без осадков,ясно
strelna,2018,january,15,день,-8°,3,Юго-восточный ветер,784,93,0.1 мм,ясно
strelna,2018,january,17,ночь,-11°,5,Восточный ветер,759,85,без осадков,ясно
strelna,2018,january,17,утро,-9°,7,Восточный ветер,756,85,без осадков,снег
strelna,2018,january,17,день,-7°,8,Восточный ветер,754,79,без осадков,снег
strelna,2018,january,17,вечер,-6°,8,Восточный ветер,752,79,без осадков,снег
strelna,2018,january,18,ночь,-6°,7,Восточный ветер,752,85,без осадков,снег
strelna,2018,january,18,утро,-6°,7,Восточный ветер,750,85,без осадков,снег
strelna,2018,january,18,день,-7°,6,Восточный ветер,750,92,без осадков,снег
strelna,2018,january,18,вечер,-6°,7,Восточный ветер,750,85,без осадков,снег
strelna,2018,january,19,ночь,-5°,3,Юго-восточный ветер,751,92,без осадков,снег
strelna,2018,january,19,утро,-3°,4,Юго-восточный ветер,752,86,без осадков,снег
strelna,2018,january,19,день,-3°,5,Восточный ветер,754,86,без осадков,пасмурно
strelna,2018,january,19,вечер,-2°,4,Восточный ветер,755,86,без осадков,пасмурно
strelna,2018,january,20,ночь,-4°,3,Северо-восточный ветер,755,92,без осадков,снег
strelna,2018,january,20,утро,-5°,4,Восточный ветер,756,92,без осадков,снег
strelna,2018,january,20,день,-6°,5,Восточный ветер,756,92,без осадков,снег
strelna,2018,january,20,вечер,-8°,4,Восточный ветер,756,85,без осадков,снег
strelna,2018,january,21,ночь,-8°,3,Восточный ветер,756,85,без осадков,снег
strelna,2018,january,21,утро,-10°,3,Восточный ветер,756,92,без осадков,снег
strelna,2018,january,21,день,-9°,2,Северо-восточный ветер,757,85,без осадков,снег
strelna,2018,january,21,вечер,-10°,3,Западный ветер,758,92,без осадков,снег
strelna,2018,january,22,ночь,-13°,1,Северный ветер,759,85,без осадков,пасмурно
strelna,2018,january,22,утро,-11°,4,Юго-западный ветер,758,85,без осадков,пасмурно
strelna,2018,january,22,день,-10°,2,Западный ветер,758,85,без осадков,пасмурно
strelna,2018,january,22,вечер,-9°,2,Северо-восточный ветер,757,92,без осадков,снег
strelna,2018,january,23,ночь,-12°,4,Западный ветер,759,92,без осадков,ясно
strelna,2018,january,23,утро,-13°,3,Западный ветер,762,84,без осадков,ясно
strelna,2018,january,23,день,-10°,1,Северный ветер,764,92,без осадков,малооблачно
strelna,2018,january,23,вечер,-12°,4,Западный ветер,767,85,без осадков,малооблачно
strelna,2018,january,24,ночь,-11°,2,Северный ветер,768,85,без осадков,пасмурно
strelna,2018,january,24,утро,-5°,4,Южный ветер,765,92,без осадков,пасмурно
strelna,2018,january,24,день,-6°,7,Юго-восточный ветер,762,85,без осадков,пасмурно
strelna,2018,january,24,вечер,-6°,7,Юго-восточный ветер,759,79,без осадков,пасмурно
strelna,2018,january,25,ночь,-4°,7,Южный ветер,758,86,без осадков,пасмурно
strelna,2018,january,25,утро,-1°,7,Юго-восточный ветер,754,92,без осадков,пасмурно
strelna,2018,january,25,день,+1°,7,Южный ветер,752,93,без осадков,пасмурно
strelna,2018,january,25,вечер,+2°,5,Южный ветер,752,93,без осадков,пасмурно
strelna,2018,january,26,ночь,+4°,3,Южный ветер,755,86,без осадков,пасмурно
strelna,2018,january,26,утро,+4°,4,Южный ветер,758,86,без осадков,пасмурно
strelna,2018,january,26,день,+4°,4,Южный ветер,761,93,без осадков,пасмурно
strelna,2018,january,26,вечер,+3°,3,Южный ветер,763,93,без осадков,пасмурно
strelna,2018,january,27,ночь,+2°,2,Северный ветер,764,100,без осадков,пасмурно
strelna,2018,january,27,утро,+1°,2,Северный ветер,765,100,без осадков,пасмурно
strelna,2018,january,27,день,+1°,2,Юго-восточный ветер,765,100,без осадков,пасмурно
strelna,2018,january,27,вечер,+1°,2,Южный ветер,765,100,без осадков,пасмурно
strelna,2018,january,28,ночь,+1°,2,Южный ветер,763,95,без осадков,пасмурно
strelna,2018,january,28,утро,+1°,5,Юго-западный ветер,762,86,без осадков,пасмурно
strelna,2018,january,28,день,+1°,4,Южный ветер,761,94,без осадков,пасмурно
strelna,2018,january,28,вечер,0°,5,Восточный ветер,759,86,без осадков,пасмурно
strelna,2018,january,29,ночь,0°,6,Восточный ветер,755,95,без осадков,снег
strelna,2018,january,29,утро,0°,5,Восточный ветер,753,92,без осадков,пасмурно
strelna,2018,january,29,день,-1°,5,Восточный ветер,753,92,без осадков,снег
strelna,2018,january,29,вечер,-2°,6,Восточный ветер,753,86,без осадков,снег
strelna,2018,january,30,ночь,-5°,6,Восточный ветер,750,85,без осадков,снег
strelna,2018,january,30,утро,-5°,6,Восточный ветер,749,85,без осадков,снег
strelna,2018,january,30,день,-6°,5,Северо-восточный ветер,749,85,без осадков,пасмурно
strelna,2018,january,30,вечер,-5°,5,Северный ветер,750,79,без осадков,снег
strelna,2018,january,31,ночь,-6°,5,Северный ветер,753,79,без осадков,пасмурно
strelna,2018,january,31,утро,-8°,4,Западный ветер,755,85,без осадков,пасмурно
strelna,2018,january,31,день,-7°,5,Западный ветер,756,85,без осадков,малооблачно
strelna,2018,january,31,вечер,-8°,4,Западный ветер,758,78,без осадков,ясно
strelna,2018,february,1,ночь,-14°,1,Южный ветер,758,92,без осадков,ясно
strelna,2018,february,1,утро,-14°,3,Восточный ветер,756,92,без осадков,малооблачно
strelna,2018,february,1,день,-8°,8,Восточный ветер,755,85,без осадков,пасмурно
strelna,2018,february,1,вечер,-6°,9,Восточный ветер,753,79,без осадков,снег
strelna,2018,february,2,ночь,-5°,6,Восточный ветер,752,92,без осадков,снег
strelna,2018,february,2,утро,-3°,2,Восточный ветер,753,100,без осадков,пасмурно
strelna,2018,february,2,день,-1°,1,Юго-восточный ветер,753,100,без осадков,пасмурно
strelna,2018,february,2,вечер,-1°,2,Восточный ветер,753,92,без осадков,туман
strelna,2018,february,3,ночь,-3°,3,Северный ветер,753,92,без осадков,пасмурно
strelna,2018,february,3,утро,-3°,3,Западный ветер,754,92,без осадков,снег
strelna,2018,february,3,день,-4°,3,Восточный ветер,756,92,без осадков,снег
strelna,2018,february,3,вечер,-5°,3,Северо-восточный ветер,757,79,без осадков,пасмурно
strelna,2018,february,4,ночь,-6°,4,Северный ветер,760,79,без осадков,пасмурно
strelna,2018,february,4,утро,-6°,3,Северный ветер,762,85,без осадков,малооблачно
strelna,2018,february,4,день,-7°,4,Северный ветер,763,92,без осадков,снег
strelna,2018,february,4,вечер,-6°,3,Северо-западный ветер,763,85,без осадков,снег
strelna,2018,february,5,ночь,-8°,6,Западный ветер,764,85,без осадков,снег
strelna,2018,february,5,утро,-8°,7,Северо-западный ветер,764,92,без осадков,снег
strelna,2018,february,5,день,-6°,7,Западный ветер,763,92,без осадков,снег
strelna,2018,february,5,вечер,-6°,6,Северный ветер,763,79,без осадков,снег
strelna,2018,february,6,ночь,-6°,4,Северный ветер,760,92,без осадков,снег
strelna,2018,february,6,утро,-8°,5,Северо-восточный ветер,759,85,без осадков,малооблачно
strelna,2018,february,6,день,-9°,4,Восточный ветер,759,85,без осадков,снег
strelna,2018,february,6,вечер,-11°,5,Восточный ветер,759,85,без осадков,пасмурно
strelna,2018,february,7,ночь,-10°,6,Восточный ветер,762,85,без осадков,снег
strelna,2018,february,7,утро,-11°,6,Юго-восточный ветер,761,92,без осадков,снег
strelna,2018,february,7,день,-8°,6,Восточный ветер,760,85,без осадков,снег
strelna,2018,february,7,вечер,-4°,5,Южный ветер,761,85,без осадков,снег
strelna,2018,february,8,ночь,-3°,6,Южный ветер,764,86,без осадков,пасмурно
strelna,2018,february,8,утро,-3°,7,Южный ветер,765,79,без осадков,пасмурно
strelna,2018,february,8,день,-6°,5,Южный ветер,767,79,без осадков,малооблачно
strelna,2018,february,8,вечер,-6°,5,Юго-восточный ветер,768,79,без осадков,ясно
strelna,2018,february,9,ночь,-7°,3,Восточный ветер,767,92,без осадков,пасмурно
strelna,2018,february,9,утро,-6°,4,Восточный ветер,766,92,без осадков,снег
strelna,2018,february,9,день,-5°,2,Восточный ветер,766,92,без осадков,снег
strelna,2018,february,9,вечер,-5°,1,Северный ветер,767,92,без осадков,снег
